City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Krasnobrodskiy,39,Good,1,Good,39,Good,0,Good,27,Good
Kundgol,28,Good,1,Good,28,Good,1,Good,26,Good
Kungur,33,Good,1,Good,33,Good,0,Good,32,Good
Kuznetsk,55,Moderate,1,Good,38,Good,0,Good,55,Moderate
La Canada,45,Good,1,Good,24,Good,2,Good,45,Good
La Porte,85,Moderate,2,Good,14,Good,9,Good,85,Moderate
Lachi,166,Unhealthy,2,Good,103,Unhealthy for Sensitive Groups,0,Good,166,Unhealthy
Kholmskaya,40,Good,1,Good,33,Good,2,Good,40,Good
Kijang,53,Moderate,1,Good,22,Good,0,Good,53,Moderate
Kimberley,67,Moderate,2,Good,10,Good,6,Good,67,Moderate
Kingori,29,Good,0,Good,18,Good,0,Good,29,Good
Kings Mountain,72,Moderate,2,Good,28,Good,13,Good,72,Moderate
Kisii,99,Moderate,3,Good,25,Good,1,Good,99,Moderate
Kitsuki,52,Moderate,1,Good,47,Good,2,Good,52,Moderate
Kjustendil,81,Moderate,1,Good,45,Good,0,Good,81,Moderate
Koboko,67,Moderate,1,Good,20,Good,0,Good,67,Moderate
Komatsu,55,Moderate,1,Good,49,Good,2,Good,55,Moderate
Konch,166,Unhealthy,4,Good,162,Unhealthy,1,Good,166,Unhealthy
Kondopoga,32,Good,1,Good,32,Good,0,Good,17,Good
Kota Belud,40,Good,1,Good,22,Good,0,Good,40,Good
San Antero,66,Moderate,1,Good,17,Good,1,Good,66,Moderate
San Giorgio A Cremano,77,Moderate,3,Good,36,Good,16,Good,77,Moderate
San Juan De Los Morros,156,Unhealthy,2,Good,9,Good,10,Good,156,Unhealthy
San Lucas Toliman,87,Moderate,3,Good,5,Good,9,Good,87,Moderate
San Pedro Ayampuc,74,Moderate,2,Good,8,Good,5,Good,74,Moderate
San Vicente,55,Moderate,1,Good,11,Good,7,Good,55,Moderate
Sankt Wendel,60,Moderate,1,Good,37,Good,3,Good,60,Moderate
Santa Maria Del Rio,42,Good,1,Good,24,Good,0,Good,42,Good
Santa Rosa De Osos,76,Moderate,2,Good,6,Good,6,Good,76,Moderate
